label;acc_x_avg;acc_y_avg;acc_z_avg;gyro_x_avg;gyro_y_avg;gyro_z_avg;acc_x_max;acc_y_max;acc_z_max;gyro_x_max;gyro_y_max;gyro_z_max;acc_x_min;acc_y_min;acc_z_min;gyro_x_min;gyro_y_min;gyro_z_min;acc_x_stdev;acc_y_stdev;acc_z_stdev;gyro_x_stdev;gyro_y_stdev;gyro_z_stdev
1;-3.645328006;-9.802927575;-10.6610476;9.692394524;10.05595753;19.45999576;8.806630812;-2.411679839;-7.228649376;84.1641823;120.6635035;187.0429335;-14.02488282;-17.29112577;-17.90551636;-63.26504206;-68.03754519;-157.9357168;3.966860684;4.214953066;2.055665114;31.219402;40.11214585;122.1796549
1;-2.381755808;-9.614188072;-10.44673985;4.287843692;9.287582826;0.576009729;10.63221929;-1.783545751;-0.422150905;84.98769806;159.329214;192.6516737;-14.38074746;-17.462107;-20.44568456;-116.4165211;-108.0489721;-160.3505516;4.706278998;4.194558646;2.676303894;28.10745235;54.3695137;115.5774154
1;-2.321088017;-9.879770165;-10.89792972;-2.758492544;-2.561343558;-8.742658638;18.80349248;-0.895778792;5.057498061;66.04786263;104.6418959;186.3345971;-18.98168806;-16.58873953;-26.62580232;-147.798865;-163.422781;-141.032026;6.974486992;3.365424804;4.583015673;36.48096292;56.64511482;103.0483776
1;-3.387448772;-9.803731015;-10.60281589;9.777922699;4.451419199;-14.22455015;19.60465658;-0.897440543;6.023151616;84.86703649;179.8089038;219.7591239;-16.36280673;-18.69694581;-26.16195864;-148.5268856;-163.7333868;-164.5976892;5.967868669;4.077246662;3.783970858;35.83347797;63.06879309;123.0509361
1;-2.461858848;-10.39384339;-10.74926243;0.053136479;-3.57641772;29.05050635;16.70993502;-3.015149664;3.145808969;75.15309165;134.2204164;193.6736556;-15.42931535;-17.25125488;-24.56102353;-128.3353857;-125.3959072;-149.2952179;5.631929574;3.596489489;3.705005408;31.5052134;54.39245268;121.0428889
1;-2.837526379;-9.236697031;-10.5785197;2.723235849;8.975152327;-8.062951484;11.26558051;-2.79815351;0.471893131;70.65356612;164.0131953;191.5425254;-13.78190609;-16.43019572;-24.70573699;-124.8997734;-90.69362983;-154.3774687;5.058477289;3.74604981;4.035424665;33.48121153;53.63183017;105.2964214
1;-2.660894043;-10.3990847;-10.8191025;0.760332073;3.888361328;-20.70321649;12.66934339;-2.508062269;-8.227326896;73.75464494;132.0109103;200.1079842;-16.51501161;-17.69918115;-15.23528953;-67.37921434;-73.46751436;-144.0555647;4.205501546;3.900689819;1.415498436;23.24194557;40.5043049;124.3784227
1;-3.522829746;-9.389161214;-10.69601702;6.191198237;4.369236567;8.266844012;19.57426861;-2.399454241;-0.028256777;78.70119072;199.4335056;200.2771764;-17.55206573;-16.0616938;-23.39998557;-119.938884;-121.8433273;-157.9880766;5.638969463;4.076257511;2.98817036;33.08907701;64.1592198;122.0751349
1;-2.133011191;-10.28155111;-10.56757127;4.202458654;0.818938883;22.18706075;16.53368407;-1.052089411;-4.840375456;45.39987709;188.590535;196.3892849;-16.9874315;-18.4223207;-18.88790936;-82.57340418;-111.8539932;-153.2089574;5.265961145;4.762755929;2.124025109;22.45005929;59.0825466;127.0086097
1;-3.048427923;-9.413922969;-10.90889717;0.928689199;10.03533628;-13.27643518;16.6854187;-2.184884742;3.328232725;68.5133867;208.0792243;204.0192648;-14.91311037;-16.93986828;-26.46342166;-143.1825662;-129.5516493;-168.453098;6.568573124;4.303827929;4.379091299;38.56134986;62.20952515;116.9280794
