=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.12 18:16:00 =~=~=~=~=~=~=~=~=~=~=~=
0:0:0:201;-1.1384;-9.5499;1.4635;-8.0659;-14.1724;1.9165;2;
0:0:0:211;-0.9826;-9.5752;1.4133;-8.3825;-12.7397;1.7149;2;
0:0:0:221;-0.8739;-9.5345;1.3117;-8.6607;-10.4198;1.4260;2;
0:0:0:231;-0.8840;-9.5016;1.2134;-8.9870;-7.9942;1.0630;2;
0:0:0:241;-1.0771;-9.5669;1.1016;-9.3121;-6.4917;0.6872;2;
0:0:0:251;-1.3979;-9.7251;0.9754;-9.4680;-6.4689;0.1724;2;
0:0:0:261;-1.6539;-9.8302;0.9159;-9.4061;-7.3095;-0.4921;2;
0:0:0:271;-1.7225;-9.7582;0.9763;-9.3710;-7.7408;-1.1640;2;
0:0:0:281;-1.6722;-9.6086;1.0816;-9.5166;-7.0698;-1.9323;2;
0:0:0:291;-1.6357;-9.5689;1.1067;-9.6104;-5.7521;-2.9225;2;
0:0:0:301;-1.6676;-9.6501;1.0254;-9.4943;-4.8310;-3.8922;2;
0:0:0:311;-1.6950;-9.7362;0.8975;-9.3734;-4.7949;-4.5378;2;
0:0:0:321;-1.5932;-9.7503;0.7777;-9.3609;-5.0222;-4.9317;2;
0:0:0:331;-1.3777;-9.7093;0.7331;-9.3064;-4.6821;-5.3234;2;
0:0:0:341;-1.2329;-9.7248;0.7878;-9.1004;-3.9876;-5.7957;2;
0:0:0:351;-1.2796;-9.8767;0.8390;-8.6924;-3.9236;-6.2953;2;
0:0:0:361;-1.4106;-10.0788;0.7976;-8.1000;-4.9291;-6.7059;2;
0:0:0:371;-1.4259;-10.1906;0.6968;-7.4809;-6.4315;-6.8144;2;
0:0:0:381;-1.2306;-10.1727;0.6011;-6.9352;-7.5749;-6.5153;2;
0:0:0:391;-0.8886;-10.0448;0.5450;-6.4344;-7.9918;-5.9530;2;
0:0:0:401;-0.5656;-9.8373;0.5282;-6.0007;-7.9128;-5.1862;2;
0:0:0:411;-0.3389;-9.6557;0.5266;-5.7143;-7.8430;-3.9952;2;
0:0:0:421;-0.1077;-9.6457;0.5172;-5.4465;-8.0115;-2.2863;2;
0:0:0:431;0.2077;-9.8048;0.4836;-4.9025;-7.9532;-0.3182;2;
0:0:0:441;0.5221;-9.9325;0.4461;-4.1422;-6.8564;1.7119;2;
0:0:0:451;0.6910;-9.8829;0.4691;-3.6155;-4.5320;3.9533;2;
0:0:0:461;0.6985;-9.7692;0.6059;-3.5774;-1.8160;6.6029;2;
0:0:0:471;0.6804;-9.7936;0.8385;-3.7830;0.3386;9.4627;2;
0:0:0:481;0.7298;-9.9400;1.0361;-3.7828;1.8596;12.0609;2;
0:0:0:491;0.7667;-10.0202;1.0563;-3.4726;3.2873;14.2332;2;
0:0:0:501;0.6748;-9.9702;0.8941;-3.0977;5.1328;16.1151;2;
0:0:0:511;0.4780;-9.8988;0.6342;-2.7594;7.7122;17.6437;2;
0:0:0:521;0.2230;-9.9093;0.3643;-2.3183;10.8631;18.6217;2;
0:0:0:531;-0.1797;-9.9970;0.1653;-1.6317;13.9405;19.1121;2;
0:0:0:541;-0.7813;-10.1130;0.0867;-0.6533;16.4282;19.2839;2;
0:0:0:551;-1.4859;-10.2100;0.1301;0.4018;18.2101;18.9063;2;
0:0:0:561;-2.2351;-10.2011;0.2717;1.0384;19.3357;17.4342;2;
0:0:0:571;-3.0108;-10.0297;0.5147;1.0760;19.8116;14.8280;2;
0:0:0:581;-3.6683;-9.7154;0.8475;0.8856;19.5389;11.7949;2;
0:0:0:591;-4.0723;-9.3401;1.1564;0.6047;18.1295;8.8901;2;
0:0:0:601;-4.3171;-9.0811;1.3189;-0.1023;14.7053;6.0491;2;
0:0:0:611;-4.5166;-9.0602;1.3089;-1.1728;8.6192;3.1248;2;
0:0:0:621;-4.5180;-9.1824;1.1513;-2.0468;0.7568;0.1762;2;
0:0:0:631;-4.1210;-9.2666;0.9000;-2.5938;-6.5666;-2.6979;2;
0:0:0:641;-3.4479;-9.2304;0.6565;-3.3036;-11.3758;-5.3055;2;
0:0:0:651;-2.8547;-9.1624;0.5270;-4.4704;-13.5510;-7.3407;2;
0:0:0:661;-2.5338;-9.2206;0.5573;-5.7207;-14.5620;-8.7400;2;
0:0:0:671;-2.3874;-9.4030;0.7084;-6.5993;-15.9234;-9.6935;2;
0:0:0:681;-2.2479;-9.5703;0.8798;-7.1923;-18.0943;-10.2481;2;
0:0:0:691;-2.0239;-9.6849;0.9694;-7.7338;-20.6081;-10.5169;2;
0:0:0:701;-1.6712;-9.8172;0.9299;-8.0367;-22.5799;-10.9913;2;
0:0:0:711;-1.2079;-9.9596;0.7884;-7.8571;-22.9168;-11.8779;2;
0:0:0:721;-0.7631;-9.9977;0.6366;-7.4334;-20.9034;-12.5357;2;
0:0:0:731;-0.5096;-9.8590;0.5608;-7.2171;-17.2100;-12.2401;2;
0:0:0:741;-0.5212;-9.6539;0.5529;-7.3901;-13.8074;-11.1921;2;
0:0:0:751;-0.6957;-9.6037;0.5620;-7.7214;-12.3132;-10.2360;2;
0:0:0:761;-0.8149;-9.7683;0.5691;-7.7447;-12.5804;-9.8313;2;
0:0:0:771;-0.7403;-9.9593;0.5517;-7.2942;-13.0259;-9.7599;2;
0:0:0:781;-0.5598;-9.9880;0.4988;-6.7407;-12.1175;-9.6281;2;
0:0:0:791;-0.4813;-9.8659;0.4598;-6.5523;-9.5446;-9.2885;2;
0:0:0:801;-0.6141;-9.7254;0.5109;-6.7841;-6.4339;-8.8237;2;
0:0:0:811;-0.8927;-9.6632;0.6367;-7.0715;-4.5504;-8.4175;2;
0:0:0:821;-1.1681;-9.6785;0.6983;-7.1831;-4.7133;-8.3208;2;
0:0:0:831;-1.3494;-9.7118;0.6452;-7.2612;-6.1321;-8.6103;2;
0:0:0:841;-1.4462;-9.7189;0.5688;-7.4394;-7.6518;-8.9848;2;
0:0:0:851;-1.4742;-9.7247;0.5114;-7.6239;-8.7955;-9.1832;2;
0:0:0:861;-1.4132;-9.7796;0.4535;-7.6280;-9.4406;-9.3546;2;
0:0:0:871;-1.3005;-9.8269;0.3987;-7.4949;-9.5485;-9.6437;2;
0:0:0:881;-1.2235;-9.7691;0.3729;-7.5561;-9.3007;-9.8472;2;
0:0:0:891;-1.1810;-9.6615;0.4012;-7.9667;-9.0026;-9.8102;2;
0:0:0:901;-1.0976;-9.6498;0.4579;-8.3930;-8.9125;-9.7945;2;
0:0:0:911;-0.9605;-9.7763;0.4744;-8.3249;-9.1438;-10.1269;2;
0:0:0:921;-0.8049;-9.9142;0.4220;-7.6882;-9.3783;-10.6873;2;
0:0:0:931;-0.6451;-9.8940;0.3049;-7.0349;-8.9191;-11.0322;2;
0:0:0:941;-0.5339;-9.7504;0.1569;-6.9406;-7.5573;-10.8722;2;
0:0:0:951;-0.5606;-9.7060;0.0796;-7.2929;-6.0982;-10.3770;2;
