=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.12 18:09:52 =~=~=~=~=~=~=~=~=~=~=~=
0:0:0:371;-0.7167;-9.5906;1.0822;-3.7388;-1.0032;3.0997;2;
0:0:0:381;-0.6447;-9.5818;1.0859;-4.1353;1.4645;3.5534;2;
0:0:0:391;-0.8368;-9.6340;1.1247;-4.7939;3.4588;3.8348;2;
0:0:0:401;-1.2397;-9.6697;1.2237;-5.5067;4.0566;3.9526;2;
0:0:0:411;-1.6644;-9.6562;1.3395;-6.1169;2.8660;4.0568;2;
0:0:0:421;-1.8691;-9.6080;1.3517;-6.5590;0.4203;4.0470;2;
0:0:0:431;-1.8107;-9.5443;1.2161;-6.9279;-1.9071;3.8356;2;
0:0:0:441;-1.6789;-9.4747;1.0560;-7.4324;-3.2139;3.5250;2;
0:0:0:451;-1.6669;-9.4202;1.0096;-8.1871;-3.7169;3.1470;2;
0:0:0:461;-1.8273;-9.4004;1.0973;-9.1827;-4.0187;2.5652;2;
0:0:0:471;-2.1214;-9.3979;1.3112;-10.2452;-4.7838;1.6402;2;
0:0:0:481;-2.4743;-9.3765;1.6070;-11.0706;-6.8337;0.3873;2;
0:0:0:491;-2.7273;-9.3306;1.8526;-11.6333;-10.2323;-1.0765;2;
0:0:0:501;-2.6954;-9.3170;1.9698;-12.2112;-13.7190;-2.7011;2;
0:0:0:511;-2.4230;-9.4077;1.9725;-12.9270;-16.1161;-4.4531;2;
0:0:0:521;-2.2164;-9.5765;1.8920;-13.6756;-17.5215;-6.1793;2;
0:0:0:531;-2.2614;-9.6931;1.7696;-14.3738;-18.5964;-7.6668;2;
0:0:0:541;-2.3800;-9.6653;1.6514;-15.0474;-19.9292;-8.7728;2;
0:0:0:551;-2.2850;-9.5292;1.5442;-15.7329;-21.9969;-9.5023;2;
0:0:0:561;-1.9230;-9.3917;1.4085;-16.4027;-24.5149;-9.9782;2;
0:0:0:571;-1.4791;-9.3296;1.2541;-17.0044;-26.4016;-10.2798;2;
