-0.49;-13.26;-2.7;-57.23;32.45;-130.02;37.5;2.31;4.76;65.33;256.58;-27.03;-19.81;-23.78;-18.53;-153.68;-203.77;-280.64;12.74;7.43;6.96;71.56;95.57;93.05
9.49;-2.85;-5.88;66.86;-29.85;116.54;16.58;5.21;12.7;216.9;89.16;360.38;-2.97;-26.45;-10.99;-173.88;-140.16;-273.8;4.53;7.42;4.6;125.49;59.6;212.02
0.59;-13.32;-3.03;-51.15;34.37;-107.73;38.74;0.85;6.29;51.88;215.28;-16.8;-19.18;-25.47;-18.5;-153.42;-180.95;-280.51;13.24;7.75;7.83;70.9;86.43;89.63
8.08;-3.9;-5.78;60.85;-13.13;81.85;17.52;5.46;16.76;211.43;92.01;370.78;-5.16;-27.36;-10.59;-205.76;-129.36;-298.53;5.77;7.79;4.9;134.15;63.99;226.75
0.03;-12.87;-2.81;-57.61;28.27;-118.87;45.14;7.01;8.68;49.89;313.95;-23.61;-17.93;-25.28;-25.79;-162.28;-329.45;-271.02;14.06;8.64;8.31;67.17;125.85;88.59
9.99;-3.76;-6.12;60.13;-18.38;114.68;18.86;6.01;26.47;203.12;79.24;374.06;-2.21;-33.43;-16.23;-225.63;-115.67;-308.91;5.12;9.03;6.87;127.88;58.94;216.17
0.81;-12.81;-3.16;-49.75;14.19;-108.18;45.58;7.74;14.3;51.94;306.09;-26.16;-18.51;-27.87;-22.96;-152.3;-310.71;-253.66;14.59;9.6;9.43;69.08;123.7;75.8
8.1;-4.21;-5.37;47.01;-16.88;83.3;16.19;6.77;20.17;191.88;121.06;384.22;-15.71;-32.67;-15.72;-239.34;-135.42;-286.31;6.76;8.75;6.82;131.88;88.53;224.56
0.44;-12.75;-3.28;-57.34;39.06;-113.37;43.27;5.44;7.12;47.99;301.72;-22.55;-16.62;-27.14;-22.68;-155.85;-262.78;-263.32;13.72;8.58;8.47;64.84;118.62;89.47
9.6;-4.06;-5.71;58.07;-20.9;96.28;18.59;5.27;20.52;194.83;58.93;351.09;-11.18;-32.07;-16.33;-196.79;-128.61;-286.01;5.65;9.1;6.16;128.72;56.88;221.98
-0.4;-12.79;-2.84;-53.07;7.13;-116.85;44.85;4.08;7.59;45.5;261.31;-16.99;-19.37;-25.85;-21.6;-140.86;-255.44;-259.79;14.46;8.21;8.25;64.68;104.89;87.48
9.6;-3.38;-6.95;59.48;-3.27;94.35;16.24;4.4;11.41;207.85;112.42;367.6;0.29;-29.04;-12.62;-192.41;-117.46;-246.84;3.93;8.62;4.41;139.58;61.86;216.51
0.23;-13.92;-2.34;-52.92;31.77;-116.1;39.97;-1.58;7.55;57.02;227.8;-22.36;-19.55;-26.7;-16.31;-145.37;-206.47;-260.85;13.07;7.72;7.67;66.4;99.09;86.82
9.81;-3;-6.97;62.37;-16.09;106.58;17.7;5.52;9.34;207.57;123.26;369.91;-0.62;-28.62;-13.73;-190.15;-138.03;-244.64;4.93;8.26;4.94;128.84;77.99;213.54
0.82;-13.9;-2.15;-47.98;18.63;-112.6;36.58;-3.07;10.42;63.04;201.73;-30.8;-20.92;-25.79;-16.7;-147.17;-189.73;-256.49;12.51;7.4;7.52;69.28;103.78;77.91
8.76;-3.84;-6.03;51.43;-13.83;88.12;16.57;3.8;17.33;186.62;127.97;359.92;-3.63;-29.58;-15.13;-207.87;-127.53;-257.85;5.68;8.82;6.46;129.47;79;221.28
-0.36;-13.31;-2.13;-53.15;23.64;-121.16;41.78;-0.68;12.58;66.96;273.53;-18.66;-19.31;-25.73;-16.9;-150.58;-244.73;-266.49;13.26;7.68;8.14;71.04;108.24;90.64
9.77;-3.57;-5.81;64.56;-7.8;116.76;16.31;5.92;23.02;213.9;115.49;363.45;-3.05;-32.87;-11.64;-187.91;-136.9;-266.72;4.51;8.57;6.27;131.15;70.67;211.37
0.25;-12.96;-2.37;-44.13;13.71;-125.23;42.66;0.86;11.64;63.89;214.53;-23.58;-18.24;-26.42;-16.28;-143.19;-229.56;-278;13.83;8.28;8.08;66.63;106.34;94.86
9.7;-3.77;-6.82;68.51;-11.02;101.57;17.3;5.17;17.83;210.76;136.33;373.02;-9.08;-31.11;-14.74;-226.04;-143.68;-299.89;5.61;8.45;5.8;135.06;71.97;220.43
0.15;-13.49;-2.41;-56.76;23.35;-118.44;44.64;2.22;7.44;62.01;280.52;-20.66;-18.3;-26.34;-20.5;-161.16;-263.53;-259.71;13.88;8.44;8.23;72.3;111.85;91.98
9.93;-2.95;-6.37;61.02;-4.86;111.99;18.68;6.81;23.9;190.96;165.07;385.06;-1.83;-27.95;-14.41;-217.83;-169.55;-269.21;4.87;7.99;6.47;131.16;89.74;217.48
-0.18;-13.62;-2.72;-50.74;23.8;-110.77;42.8;1.56;14.45;37.96;295.97;-22.55;-20.58;-26.47;-19.9;-144.83;-329.12;-270.52;14.58;8.26;8.52;64.69;123.84;82.35
8.83;-3.61;-5.64;47.58;-20.76;87.89;22.35;5.09;17.43;194.66;106.97;355.57;-7.86;-23.67;-17.42;-195.58;-125.52;-275.3;6.43;8.59;7.14;123.6;62.01;225.49
