2.95;-10.48;-1.6;-50.99;-8.05;-128.48;23.66;27.52;4.81;31.69;89.21;4.19;-14.7;-36;-23.28;-188.09;-208.33;-285.44;12.09;13.58;8.53;52.97;90.79;85.97
9.03;-7.52;-2.13;43.95;27.4;114.69;16.22;5.52;19.01;154.15;200.05;484.79;-1.81;-33.96;-7.49;-216.87;-217.43;-293.29;3.97;10.87;5.81;98.53;140.05;262.46
3.21;-11.37;-1.55;-44.86;-18.53;-143.9;23.29;20.7;5.22;24.02;83.56;-49.32;-14.93;-31.41;-19.03;-159.07;-257.16;-252.79;10.75;11.83;7.33;47.05;87.78;66.08
9.68;-6.76;-2.89;43.79;13.89;129.28;17.72;5.22;16.71;162.51;257.26;479.5;-2.01;-34.73;-10.94;-254.23;-311.13;-337.1;4.17;9.71;5.24;103.29;157.42;266.04
3.61;-10.74;-1.55;-54.11;-15.8;-142.95;25.96;23.16;7.88;33.96;91.54;-32.71;-15.27;-33.73;-22.55;-177.92;-203.5;-251.94;11.76;12.6;7.21;59.29;101.59;66.52
9.57;-7.69;-3.75;55.89;31.11;119.53;16.58;4.34;10.21;212.98;173.42;438.35;1.94;-33.04;-9.49;-199.1;-232.16;-416.45;3.48;8.59;3.99;112.46;110.83;254.25
4.2;-10.91;-1.19;-54.4;-15.34;-114.47;34.09;16.67;5.27;33.55;117.44;-26.43;-12.78;-30.79;-19.16;-169.67;-279.37;-209.08;13.06;9.95;5.89;49.14;117.18;66.69
8.94;-6.81;-3.55;34.76;8.85;89.79;17.03;3.01;8.3;147.54;159.29;414.45;0.61;-30.27;-8.08;-183.55;-278.48;-353.95;4.71;9.66;4.69;100.31;123.11;239.04
4.31;-11.37;-1.34;-54.92;4.03;-110.35;35.02;19.06;4.58;50.12;129.39;-21.9;-13.82;-27.48;-20.57;-155.73;-231;-177.52;11.87;9.4;5.76;42.94;97.29;46.53
9.6;-6.82;-3.6;54.23;11.22;103.55;16.79;1.07;8.61;188.44;160.53;370.81;2.22;-28.79;-7.16;-182.54;-220.47;-343.12;4.01;8.86;4.04;105.9;105.23;210.16
